Méthode,Modèle,AUC,Précision Classe 0,Rappel Classe 0,F1-Score Classe 0,Précision Classe 1,Rappel Classe 1,F1-Score Classe 1
Original,XGBoost,0.803,0.800,0.827,0.813,0.658,0.617,0.637
Original,AdaBoost,0.832,0.771,0.873,0.819,0.689,0.519,0.592
Original,SVM,0.810,0.766,0.873,0.816,0.683,0.506,0.582
Original,Naive Bayes,0.799,0.770,0.847,0.806,0.652,0.531,0.585
SMOTE,XGBoost,0.814,0.831,0.787,0.808,0.640,0.704,0.671
SMOTE,AdaBoost,0.835,0.818,0.780,0.799,0.625,0.679,0.651
SMOTE,SVM,0.837,0.848,0.780,0.812,0.645,0.741,0.690
SMOTE,Naive Bayes,0.807,0.811,0.800,0.805,0.639,0.654,0.646
ADASYN,XGBoost,0.810,0.840,0.733,0.783,0.600,0.741,0.663
ADASYN,AdaBoost,0.850,0.850,0.793,0.821,0.659,0.741,0.698
ADASYN,SVM,0.829,0.842,0.747,0.792,0.612,0.741,0.670
ADASYN,Naive Bayes,0.808,0.821,0.793,0.807,0.640,0.679,0.659
